,blueWins,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueTotalExperience
0,0,9,6,11,0,0,0,0,17210,17039
1,0,5,5,5,0,0,0,0,14712,16265
2,0,7,11,4,1,1,0,0,16113,16221
3,0,4,5,5,1,0,1,0,15157,17954
4,0,6,6,6,0,0,0,0,16400,18543
5,1,5,3,6,1,1,0,0,15899,18161
6,1,7,6,7,1,1,0,0,16874,16967
7,0,5,13,3,0,0,0,0,15305,16138
8,0,7,7,8,0,0,0,0,16401,18527
9,1,4,5,5,1,1,0,0,15057,16805
10,0,4,4,6,0,0,0,0,15474,16611
11,0,11,11,7,1,0,1,0,16695,18507
12,1,7,1,11,1,1,0,0,17865,19102
13,0,4,9,1,1,0,1,0,14979,17213
14,1,4,4,4,0,0,0,0,15722,17896
15,0,3,7,3,0,0,0,0,15015,16974
16,1,10,2,8,0,0,0,0,19733,20862
17,0,3,7,3,1,0,1,0,14852,16888
18,1,5,4,11,0,0,0,0,16282,17378
19,0,5,9,5,0,0,0,0,14994,17924
20,1,11,6,15,1,1,0,0,18606,19254
21,0,4,13,5,0,0,0,0,15878,16945
22,0,4,6,3,0,0,0,0,15773,17562
23,0,4,3,4,2,1,1,0,15906,19219
24,1,6,9,10,0,0,0,0,16515,17223
25,0,4,8,4,0,0,0,0,15415,16047
26,1,8,6,9,1,1,0,0,17178,17854
27,0,7,4,9,0,0,0,0,17226,18982
28,0,8,6,13,1,1,0,0,17474,17436
29,0,3,8,2,1,1,0,0,14905,17974
30,1,9,4,10,1,1,0,0,18132,18076
31,1,5,2,6,2,1,1,0,16053,17406
32,0,6,4,7,0,0,0,0,16438,16989
33,0,5,4,4,0,0,0,0,15634,16355
34,1,6,4,4,0,0,0,0,16085,19076
35,0,3,4,6,0,0,0,0,14981,17082
36,0,2,8,2,1,1,0,0,15421,19276
37,0,5,6,4,1,0,1,0,15665,17716
38,0,7,9,5,1,0,1,0,17528,19609
39,0,3,6,3,1,0,1,0,15032,16832
40,0,4,11,3,0,0,0,0,15483,17362
41,1,10,6,12,0,0,0,0,19226,20118
42,1,9,6,14,1,1,0,0,16945,17806
43,1,5,5,3,0,0,0,0,15000,16493
44,0,3,4,2,1,0,1,0,15888,19090
45,0,1,10,0,0,0,0,0,12925,15498
46,1,11,2,9,0,0,0,0,19250,19703
47,1,8,4,5,1,1,0,1,18355,18790
48,1,2,3,2,1,0,1,0,13978,16429
49,0,5,5,8,0,0,0,0,15851,17366
50,0,7,9,5,0,0,0,0,16474,17408
51,1,6,8,6,0,0,0,0,16590,18284
52,1,5,2,2,2,1,1,0,15737,18634
53,1,5,3,5,0,0,0,0,16990,19634
54,0,3,3,2,1,1,0,0,15297,19210
55,0,4,10,4,1,0,1,0,15651,17696
56,0,5,7,7,1,1,0,0,15587,16746
57,1,10,6,11,1,1,0,0,17777,18131
58,1,7,5,5,2,1,1,0,16426,18407
59,0,10,7,11,0,0,0,1,20278,19575
60,0,2,7,0,0,0,0,0,13791,16437
61,0,6,7,5,0,0,0,0,16505,17667
62,1,6,4,4,1,1,0,0,17277,19610
63,1,9,1,10,2,1,1,0,18269,19659
64,0,4,10,3,1,1,0,0,14166,15959
65,0,6,12,7,0,0,0,0,15456,16280
66,0,4,5,2,0,0,0,0,15180,17773
67,0,7,8,8,1,1,0,0,16179,16814
68,1,3,5,3,0,0,0,0,16026,18490
69,0,4,5,4,0,0,0,0,14850,17145
70,0,9,8,7,1,0,1,0,17347,18573
71,1,5,4,6,0,0,0,0,15887,17591
72,0,8,2,11,0,0,0,0,17399,19449
73,0,2,7,1,1,1,0,0,13828,16629
74,1,6,4,4,1,1,0,0,16645,19110
75,1,6,4,8,2,1,1,0,16248,17200
76,0,4,6,1,0,0,0,0,15310,18337
77,1,8,4,7,1,0,1,0,16784,17242
78,1,13,9,18,1,1,0,0,19032,18951
79,0,7,6,12,0,0,0,0,17518,18342
80,0,11,4,12,1,0,1,0,18976,20326
81,0,6,6,10,1,1,0,0,16143,16617
82,0,7,8,6,1,0,1,0,15868,17111
83,1,9,8,7,1,1,0,0,17977,18162
84,1,10,10,14,1,1,0,0,18138,18159
85,1,7,2,12,2,1,1,0,18025,19864
86,0,1,6,0,0,0,0,0,14625,17769
87,1,5,8,7,1,1,0,0,15752,17113
88,1,10,4,12,0,0,0,0,18480,19565
89,0,3,10,2,1,1,0,0,14995,16206
90,0,7,11,3,0,0,0,0,15655,15827
91,0,3,5,2,0,0,0,0,15562,18590
92,1,9,2,5,0,0,0,0,17139,19137
93,1,7,7,6,0,0,0,1,19229,18820
94,0,7,7,10,1,1,0,0,16972,19060
95,0,5,10,6,0,0,0,0,16249,18383
96,1,5,4,9,0,0,0,0,16415,17645
97,1,6,8,10,1,0,1,0,18012,19837
98,1,11,6,11,2,1,1,0,19294,20668
99,0,5,8,4,1,0,1,0,15383,17243
100,0,6,8,2,1,1,0,0,15777,17401
101,0,4,6,4,0,0,0,0,14805,17323
102,0,6,7,2,0,0,0,0,15244,16787
103,0,8,3,7,1,0,1,0,17574,19195
104,0,8,11,9,0,0,0,0,16655,17831
105,0,6,4,8,1,1,0,0,16855,18370
106,1,6,14,4,0,0,0,0,15786,16995
107,0,3,5,1,0,0,0,0,15143,19080
108,1,9,5,9,0,0,0,0,17309,18904
109,1,6,4,6,1,1,0,0,16416,19684
110,1,2,7,2,1,1,0,0,15222,17812
111,0,5,10,3,2,1,1,0,15526,17629
112,1,12,9,10,0,0,0,0,17597,15938
113,0,9,17,17,0,0,0,0,16834,14815
114,1,12,6,12,1,1,0,0,19058,19575
115,0,7,9,5,2,1,1,0,16806,18034
116,1,7,10,7,0,0,0,0,16643,17554
117,1,6,4,12,1,1,0,0,16189,17737
118,0,2,6,1,0,0,0,0,14095,17286
119,0,5,5,7,1,0,1,0,16804,17544
120,0,8,8,8,1,1,0,0,17305,18192
121,0,3,9,2,0,0,0,0,14539,16806
122,1,9,8,10,1,1,0,0,17530,18299
123,1,10,7,10,0,0,0,0,18431,19562
124,0,3,10,2,0,0,0,0,14032,16550
125,1,9,7,11,1,1,0,0,17869,17810
126,1,7,14,6,1,1,0,0,15974,16174
127,1,5,3,6,1,1,0,0,16108,18920
128,0,6,7,6,0,0,0,0,16302,17297
129,1,7,5,6,0,0,0,0,16750,17603
130,1,7,1,8,0,0,0,0,16506,18669
131,1,6,3,11,1,1,0,0,16389,17937
132,1,4,4,4,0,0,0,0,15760,18295
133,1,4,7,4,1,1,0,0,15176,16820
134,0,5,7,4,0,0,0,0,15196,16908
135,1,6,9,2,1,1,0,0,16250,17537
136,1,9,7,15,1,1,0,0,16541,16779
137,1,12,4,9,1,0,1,0,18657,19205
138,1,5,5,6,0,0,0,0,16873,19105
139,0,3,4,3,1,1,0,0,14383,15898
140,0,4,9,5,0,0,0,0,14420,15196
141,0,4,15,4,0,0,0,0,14720,15031
142,1,7,6,7,0,0,0,0,17406,19761
143,0,5,7,2,0,0,0,0,15210,15974
144,1,10,5,16,0,0,0,0,17272,15840
145,1,12,4,15,0,0,0,0,19358,19257
146,1,4,11,5,1,0,1,1,16855,16360
147,0,3,8,4,2,1,1,0,15209,16256
148,1,13,9,22,0,0,0,0,19542,17935
149,0,4,3,4,0,0,0,0,15267,17321
150,0,3,1,3,1,1,0,0,15243,17194
151,0,8,8,3,0,0,0,0,16214,17234
152,0,8,6,12,2,1,1,0,15976,18227
153,0,6,7,10,1,0,1,0,16557,17632
154,0,6,14,3,0,0,0,0,16142,16953
155,0,7,11,9,0,0,0,0,17984,18708
156,1,13,5,10,2,1,1,0,20038,21588
157,1,10,5,13,0,0,0,1,19571,18463
158,0,3,10,4,0,0,0,0,14557,15128
159,1,6,6,5,0,0,0,0,16029,18567
160,1,7,6,8,0,0,0,1,18053,16741
161,1,9,5,9,1,1,0,0,18098,18905
162,1,8,3,9,2,1,1,0,18343,19519
163,1,5,6,4,1,1,0,0,15596,17998
164,0,4,2,6,1,1,0,0,15812,17882
165,1,6,6,10,0,0,0,0,15947,16477
166,0,5,9,5,0,0,0,0,14997,16532
167,0,7,7,5,0,0,0,0,16463,17576
168,0,6,7,7,0,0,0,0,16072,17054
169,1,7,3,6,1,1,0,0,19140,19579
170,0,4,6,1,0,0,0,0,14547,15883
171,1,5,4,7,1,0,1,0,15644,17717
172,0,5,5,5,0,0,0,0,15734,17911
173,1,5,5,6,1,1,0,0,16794,17320
174,0,6,11,8,1,1,0,0,15930,17257
175,1,6,6,6,0,0,0,0,16936,18646
176,1,9,5,9,0,0,0,0,17941,19379
177,0,2,8,4,0,0,0,0,13698,15671
178,1,5,4,3,1,1,0,0,15943,19262
179,1,4,8,6,1,0,1,0,15891,18304
180,0,5,6,5,1,0,1,0,16216,19002
181,0,3,5,3,0,0,0,0,14754,17158
182,1,8,2,5,1,1,0,0,16909,18318
183,1,10,2,11,0,0,0,0,18858,19691
184,0,6,7,7,0,0,0,0,15952,17112
185,0,1,5,2,0,0,0,0,13286,15085
186,0,6,6,9,0,0,0,0,16812,18466
